theta_radians,cudaq_energy_mev,matrix_energy_mev
-3.141592653589793,12.250289999999993,12.25029
-3.043417883165112,12.63990559858917,12.639905598589175
-2.945243112740431,12.96467963568334,12.964679635683343
-2.84706834231575,13.22148435976574,13.221484359765743
-2.748893571891069,13.407846600959708,13.407846600959713
-2.650718801466388,13.521971589006593,13.521971589006599
-2.552544031041707,13.562760237884435,13.56276023788444
-2.454369260617026,13.529819730607194,13.529819730607198
-2.356194490192345,13.423467302267065,13.42346730226707
-2.2580197197676637,13.244727184887115,13.244727184887118
-2.1598449493429825,12.995320743506996,12.995320743507001
-2.061670178918302,12.677649898496641,12.677649898496643
-1.9634954084936207,12.294773993750029,12.294773993750033
-1.8653206380689396,11.850380333531142,11.850380333531144
-1.7671458676442586,11.34874867171817,11.348748671718175
-1.6689710972195777,10.794709995434136,10.794709995434138
-1.5707963267948966,10.193599999999996,10.1936
-1.4726215563702154,9.551207703271938,9.55120770327194
-1.3744467859455345,8.8737196942348,8.8737196942348
-1.2762720155208536,8.167660552768229,8.167660552768229
-1.1780972450961724,7.43983001437573,7.4398300143757305
-1.0799224746714913,6.697237485014673,6.697237485014675
-0.9817477042468106,5.947034536685179,5.947034536685179
-0.8835729338221294,5.196446033882296,5.196446033882299
-0.7853981633974483,4.4527005542014395,4.4527005542014395
-0.6872233929727671,3.7229607731845684,3.722960773184566
-0.589048622548086,3.014254483839215,3.014254483839214
-0.4908738521234053,2.3334069151500483,2.333406915150045
-0.39269908169872414,1.6869750013926756,1.6869750013926736
-0.294524311274043,1.0811842352722163,1.081184235272215
-0.1963495408493623,0.5218687130253334,0.5218687130253293
-0.09817477042468115,0.014414948884217793,0.014414948884215599
0.0,-0.4362899999999952,-0.4362899999999996
0.09817477042468115,-0.8259055985891708,-0.8259055985891742
0.1963495408493623,-1.1506796356833382,-1.1506796356833435
0.294524311274043,-1.4074843597657347,-1.4074843597657412
0.39269908169872414,-1.5938466009597088,-1.5938466009597136
0.4908738521234053,-1.707971589006593,-1.7079715890065983
0.589048622548086,-1.7487602378844342,-1.748760237884439
0.6872233929727671,-1.7158197306071927,-1.7158197306071985
0.7853981633974483,-1.6094673022670625,-1.6094673022670694
0.883572933822129,-1.4307271848871164,-1.43072718488712
0.9817477042468106,-1.1813207435069981,-1.181320743507002
1.0799224746714913,-0.863649898496639,-0.8636498984966418
1.178097245096172,-0.4807739937500304,-0.4807739937500333
1.2762720155208536,-0.03638033353114101,-0.03638033353114532
1.3744467859455343,0.46525132828182914,0.4652513282818256
1.4726215563702159,1.0192900045658684,1.019290004565865
1.5707963267948966,1.6204000000000023,1.6203999999999996
1.6689710972195773,2.262792296728059,2.2627922967280574
1.7671458676442588,2.9402803057651994,2.940280305765199
1.8653206380689396,3.646339447231771,3.6463394472317696
1.9634954084936211,4.374169985624273,4.37416998562427
2.061670178918302,5.116762514985327,5.116762514985324
2.1598449493429825,5.86696546331482,5.86696546331482
2.258019719767664,6.617553966117702,6.617553966117702
2.356194490192345,7.361299445798556,7.361299445798559
2.4543692606170255,8.091039226815425,8.09103922681543
2.552544031041707,8.799745516160783,8.799745516160785
2.650718801466388,9.480593084849952,9.480593084849954
2.7488935718910685,10.127024998607322,10.127024998607324
2.84706834231575,10.732815764727782,10.732815764727784
2.945243112740431,11.292131286974666,11.29213128697467
3.0434178831651124,11.799585051115784,11.799585051115786
3.141592653589793,12.250289999999993,12.25029
